# Pac-Man sprite ROM manifest
# columns: sprite_id nonzero_pixels colors bbox blank_rows multicolor_rows row_colors row_mask pattern_sha256 color_sha256
00 071 0,1,2,3 2,2,13,13   04 07 0,0,1,1,1,1,2,2,2,2,2,2,2,2,0,0 0000 0000 3000 3C00 0B00 0880 0478 02FC 0F7C 1FBC 1FBC 1FB8 1F80 0F00 0000 0000 9e059f2ed7bf05ce266a90a9b3dd9d02ab9f732f61c0a0d8f603c4290f811d8e e554573c559f8ebf1d7bbd68cd56aa94068fff64fb52aa17d1b08df2ead8d95c
01 091 0,1,2,3 3,2,13,13   04 08 0,0,3,1,1,2,2,2,2,2,2,2,2,2,0,0 0000 0000 0080 07F0 0FF8 1FFC 1FFC 1FFC 1FFC 0FF8 0FF8 03F0 03E0 0080 0000 0000 62531bb68d315e513badfb2e02b9b501607446918160ebc054a42f607bfaa978 12b34dd359e489b9d55fce4a30d376028ec18f5edc803362820aaeec2f840753
02 104 0,1,2,3 2,2,13,13   04 04 0,0,1,1,1,2,2,2,2,2,2,2,2,2,0,0 0000 0000 0600 1F80 0E80 0FF0 1FF8 3FFC 3FFC 3FFC 3FFC 1FF8 1FF8 07E0 0000 0000 27a86a8e2249365ab5e34c61ee24c870697d1bc92eb5f67020b20f0fbffd44ac 5eed01a674b4efd16eb945287551ae9c05f9d9d4e1c1293dcb510aa56a4959a9
03 112 0,1,2,3 2,2,13,14   03 02 0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,0 0000 0000 0180 0660 0FF0 0FB0 0FD0 1FD8 1FD8 1FF8 3FEC 3FEC 3FFC 3FFC 1FF8 0000 62253fde02e6488762a332be39f9908e5a073d113408ae2834c725be1106f78a dfae3020c2c5bec15212eb3ef806a2bb2e6f1c5ee887ec10f22f81c4744302f0
04 112 0,1,2,3 2,2,13,13   04 05 0,0,1,2,2,2,2,2,2,2,2,2,2,2,0,0 0000 0000 0100 0EB8 1FFC 3FFC 3FFC 3FFC 3FFC 3FFC 1FF8 1FF8 0FF0 0760 0000 0000 fa182aa44f5fd4cf50b2c7aa80b4efa9b5120e536f095184d8ebf782ec7dbe07 62eac8e07add3eb2f61a8f73034da4fcdc261a13f3be1a2de9e27d943309a274
05 096 0,1,2,3 2,1,12,14   02 11 0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0 0000 0020 07C0 0100 0380 0FE0 1FF0 1FF0 3FF8 3FF8 3FF8 1FF0 1FF0 0FE0 0380 0000 07a7e7c125c22d67a9d786a595b1f924e1139fe1b171d49ee57951db02e04ae1 2d0767922b2471fcb48d6f2a1c0244e2e16d44b01c83d2a4e8bf3847e71bb81d
06 063 0,1,2,3 3,3,13,13   05 08 0,0,0,1,1,1,1,3,3,2,2,2,3,3,0,0 0000 0000 0000 0080 11C4 13E4 1FFC 1FFC 1FFC 0EB8 06B0 02A0 0080 0080 0000 0000 9f284254ea324620816ad849ae810d6b33bedddfb20b25fbc08d08138c39e0b3 779a91a8abd76205bb9d31f81323dcf5fd41eb447e079e6fa4f43e542bc622d1
07 044 0,1,3   5,2,11,14   03 00 0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,0 0000 0000 01C0 0630 07F0 07F0 07F0 0140 0340 0140 0040 0140 0340 0140 0080 0000 67dee33314d3cb91f27e5ada38eed57c01a2c690d6b898217e6939a404d89c8a 2da19361dbd68b2fabd7e691c4c8bcce23f646934c8baa223eff2df1a72b1163
08 158 0,1,2,3 1,1,14,14   02 11 0,3,3,3,3,2,1,3,3,3,3,3,3,3,3,0 0000 03C0 0FF0 1FF8 3FFC 3FFC 3FFC 7FFE 7FFE 7FFE 7FFE 7FFE 7FFE 6E76 4662 0000 e5356020dd2af4d46c48cfaa25b59d89722284994db2ea50145d4a448ae5ebf0 77baab66657f7841fa816eeff4491b182e6faadbff843b346878c25da3291e44
09 160 0,1,2,3 1,1,14,14   02 10 0,3,3,3,3,2,1,3,3,3,3,3,3,3,3,0 0000 03C0 0FF0 1FF8 3FFC 3FFC 3FFC 7FFE 7FFE 7FFE 7FFE 7FFE 7FFE 7BDE 318C 0000 34cbd60e584585f7e26d1c7301668515761e9a3770f687960caa56f6d2e20576 77baab66657f7841fa816eeff4491b182e6faadbff843b346878c25da3291e44
10 086 0,1,2,3 1,4,13,14   05 03 0,0,0,0,2,1,1,2,3,3,3,3,3,3,3,0 0000 0000 0000 0000 3600 7F00 7F00 3F80 1FE0 0FF0 0FF8 07F8 1FFC 1FFC 1C1C 0000 af227d2c0b5d5374d403859b60c200b188bc4d62bb125d367583bfb8e75e32c4 744e930f6bb22c998df99a9354a79bc7add5987f9588028dcf6974b259c9388a
